uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1643826249","02 Feb 2022, 18:24","Fugazi","233fc3f3-6de2-465c-985e-e721dbabbace","13 Songs","2f9f575b-2bd0-4ccb-9ab5-70fae4f8dd8b","Margin Walker","022976fb-59af-3260-9150-bc9cbb593cda"
"1643826084","02 Feb 2022, 18:21","R.E.M.","ea4dfa26-f633-4da6-a52a-f49ea4897b58","Monster","04aff480-c307-4bd8-aa98-47b887299d71","What's the Frequency, Kenneth?","01235f2a-67d4-313d-84da-136ad2383cfa"
"1643825846","02 Feb 2022, 18:17","Public Image Ltd.","","The Public Image Is Rotten (Songs From the Heart)","4f1dcff3-2c61-45bd-9838-f0c8d80de47a","Rise (Live At The New York Ritz)","6aeee1d3-9210-4b56-b553-cec7fa6aabfd"
"1643825353","02 Feb 2022, 18:09","Red Hot Chili Peppers","8bfac288-ccc5-448d-9573-c33ea2aa5c30","Blood Sugar Sex Magik","0cb0f83f-b8d2-4cd7-a5fb-32a4bc21d053","Apache Rose Peacock","021c94a3-2853-3653-a375-f46e69575033"
"1643825071","02 Feb 2022, 18:04","New Order","f1106b17-dcbb-45f6-b938-199ccfab50cc","Technique","01681b1d-3068-3689-b879-efefde1f7b3b","Fine Time","00185448-d032-327f-8ca8-2591537da041"
"1643824786","02 Feb 2022, 17:59","The Wallflowers","d9c90718-d54d-4ccf-a92e-37a5415ce299","6th Avenue Heartache - EP","","6th Avenue Heartache (Radio Edit)","75ca09b0-fd45-4d07-8258-70e8f7a3fc95"
"1643824519","02 Feb 2022, 17:55","Jane's Addiction","e3434cc7-d348-491a-9dc8-325af3d9086d","Ritual de lo Habitual","0239d797-11ca-3d4d-b838-8a70a984f632","Been Caught Stealing","009e7590-36f2-443a-8b53-52c9598ad553"
"1643824304","02 Feb 2022, 17:51","Red Hot Chili Peppers","","Mother's Milk","117727ff-850f-4e7e-afd4-0bb95739eb41","Higher Ground (Remaster 2003)",""
"1643824100","02 Feb 2022, 17:48","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","The Top","0cc7ebf4-cba0-3821-932b-ea132950ba7d","Birdmad Girl","09ea1451-3b80-48ea-ab23-2d3311d45806"
"1643821203","02 Feb 2022, 17:00","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Bestival Live 2011","3276c099-b530-41dc-bcb6-9b1ebed03cb9","Friday I'm In Love (Bestival Live 2011)",""
"1643820989","02 Feb 2022, 16:56","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Show (Live)","","From the Edge of the Deep Green Sea","01c007af-77cf-4ce9-9dd6-a6e203b0287c"
